is_blue,is_local,is_core,arpu,brand,gender,age,id_area,avg_time,avg_distance,avg_speed,n_obs,manhua_ltime,manhua_lflux,jinrongye_ltime,jinrongye_lflux,zhuti_zhuomian_ltime,zhuti_zhuomian_lflux,wuliu_kuaidi_ltime,wuliu_kuaidi_lflux,yule_zixun_ltime,yule_zixun_lflux,dongzuo_youxi_ltime,dongzuo_youxi_lflux,qiche_xinxi_ltime,qiche_xinxi_lflux,caijing_zixun_ltime,caijing_zixun_lflux,waiyu_ltime,waiyu_lflux,junshi_zixun_ltime,junshi_zixun_lflux,lvyou_chuxing_ltime,lvyou_chuxing_lflux,bangong_wenjiao_ltime,bangong_wenjiao_lflux,shouji_shuma_ltime,shouji_shuma_lflux,shequ_luntan_ltime,shequ_luntan_lflux,hunlian_jiaoyou_ltime,hunlian_jiaoyou_lflux,gongju_ruanjian_ltime,gongju_ruanjian_lflux,tuangou_dazhe_ltime,tuangou_dazhe_lflux,waimai_songcan_ltime,waimai_songcan_lflux,dache_ruanjian_ltime,dache_ruanjian_lflux,cidian_fanyi_ltime,cidian_fanyi_lflux,shejiao_wangluo_ltime,shejiao_wangluo_lflux,anquan_shadu_ltime,anquan_shadu_lflux,dianying_ltime,dianying_lflux,shouji_yuedu_ltime,shouji_yuedu_lflux,liulanqi_ltime,liulanqi_lflux,keji_zixun_ltime,keji_zixun_lflux,fuzhuang_fangzhi_ltime,fuzhuang_fangzhi_lflux,shijian_tianqi_ltime,shijian_tianqi_lflux,dianzi_zhifu_ltime,dianzi_zhifu_lflux,yiliao_jiankang_ltime,yiliao_jiankang_lflux,weizhang_chaxun_ltime,weizhang_chaxun_lflux,shouji_shipin_ltime,shouji_shipin_lflux
1,N,Y,82,维沃,02,05,360721,1404.43200000000002,3329.04500000000007,17.5450000000000017,44,,,,,,,4471375,108074321,,,,,4249300,355211,13,104,,,,,3172932,12507875,,,2868,22823,,,32,392,1985485,118148884,59535613,1075625992,5086486,4273568,11861629,45365714,27,240,5411390,7757324,127409,78361,,,7337522,14744182,3922541,10524803,46,1065,,,5,669,27549582,148143150,436442,5001365,,,104685082,2963367705
1,Y,Y,29,华为,02,08,350424,623.889999999999986,3473.98599999999988,20.7530000000000001,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1616,168,,,,,,,,,,,,,,,,,,,,,,
1,N,Y,61,苹果,02,07,431224,1150.73299999999995,18570.2669999999998,35,15,,,,,,,112760,173992,,,,,8022,270237,21617,263,,,,,64028,265086,,,410,10263,,,,,63,602,7872599,276851362,257716,20563814,18376,260297,,,1706588,27533252,,,,,22548254,23398136,28606,282772,,,,,,,6430728,114623943,308115,2928448,,,121735662,12560900080
1,Y,Y,54.490000000000002,小米,01,08,431026,524.220000000000027,3254.03999999999996,207.319999999999993,50,,,,,,,911854,541972,,,,,61129,2211,114,392,,,70,191,1895446,29485743,,,26483634,272466401,,,89917,908792,2336811,12153521,56967,29501,116225,58193,1202443,2381355,,,12336987,38697722,56310,399795,,,888619,4838884,43701,186574,,,,,,,893646,85226591,,,,,53495527,3262974664
1,Y,Y,82,苹果,02,08,320522,395.557000000000016,4269.31400000000031,72.7139999999999986,70,,,,,,,59,271,,,,,124415,1986027,629,1576,,,,,326142,15280496,,,10785,35898,,,40,224,8364,4214,288108,23961440,187612,57572,30247,30068,,,1472565,6310748,20567106,219972906,,,944573,335499,9156477,13758207,,,,,,,2520414,5550291,111,520,,,31073378,845934199
1,Y,Y,28,红米,01,11,362324,2965.79599999999982,8138.45600000000013,52.3059999999999974,147,,,,,,,1840,364,,,,,33103,3776435,,,,,,,193675,1712234,,,14215163,52760091,,,,,226,1785,0,84,,,648625056,1306257847,,,52661427,37513071,2765,176254,,,19275,33155,25289,9608,,,,,55069,58292,113108,2636406,,,,,322671,21575923
1,Y,Y,51,苹果,02,06,350626,823.769000000000005,7225.63000000000011,76.6389999999999958,108,,,,,,,1864528,23078366,,,,,2314713,502218,,,,,,,4196467,76764189,,,,,,,0,60,799005,1341611,25662194,1725495570,1089595,54185456,4275755,92236878,,,1825887,19883117,35907,51586,,,1958248,42930438,10724,71412,195,14722,,,378842,117947,4226808,77286992,1418692,3981241,15000,392,43145054,2532329075
1,Y,Y,26,欧珀,01,09,340621,2619.76200000000017,21487.0139999999992,181.86699999999999,143,,,,,,,,,,,,,475426,2507730,16194,80814,,,,,411780,5678027,,,5894798,2254497,,,,,3874983,1810631,1223910,167008,926,11639,326118,1245209,,,59611143,89711143,9143055,3011406,,,6890206,487821,400779,1791595,82002,7698,,,10001,470,458951,6496837,4,863,0,45,96125522,5900285412
1,Y,Y,12.6600000000000001,苹果,02,05,350211,2177.22899999999981,4780.02900000000045,17.1430000000000007,35,,,,,,,,,,,,,49,1992,,,,,,,261019,11300219,,,,,,,,,,,4,920,,,,,,,114004,227779,302,8470,,,,,2,814,,,,,,,,,,,,,504821,12065421
1,Y,Y,8,REALME,01,07,350525,1215.90900000000011,10514.8179999999993,165.788000000000011,66,,,,,,,,,,,,,,,,,,,,,,,,,20000,14123,,,,,29816,1079586,1325,6522,,,,,,,839362,18772173,,,,,120863,31892,,,,,,,,,,,,,,,858582,60650253
